Start_date,End_date,Name or Description,Location,Address,City
2/29/2024,3/2/2024,Home & Garden show,Fresno Fairgrounds,1121 S Chance Ave,"Fresno, CA 93702"
4/2/2024,4/2/2024,Sanger Womens Club ,Sanger Womens Clubhouse ,1602 7th St,"Sanger, CA 93657"
4/2/2024,4/2/2024,Residintial door to door information distribution,Residential Neighborhood,815 El Dorado Ave,"Clovis, CA 93619"
4/6/2024,4/6/2024,Education Day with the Master Gardners,Garden of the Sun,1750 N Winery Ave,"Fresno, CA 93703"
4/27/2024,4/27/2024,Drove District Spray Truck in parade ,Parlier Round Up Parade,1100 E Parlier Ave,"Parlier, CA 93648"
4/27/2024,4/27/2024,Weekend of Wellness,Memorial Park,1900 16th Ave,"Kingsburg, CA 93631"
5/4/2024,5/4/2024,Drove District Spray Truck in parade,Riverdale Spring Parade,3428 W Mount Whitney Ave,"Riverdale, CA 93656"
5/4/2024,5/4/2024,Clovis Trail Fest,Clovis Old Town Walking Trail,120 N Clovis Ave,"Clovis, CA 93612"
5/11/2024,5/11/2024,Kids Education Day with the Master Gardners,Garden of the Sun,1750 N Winery Ave,"Fresno, CA 93703"
5/18/2024,5/18/2024,Swedish Festival,On Draper Street,1520 Draper St,"Kingsburg, CA 93631"
7/10/2024,7/10/2024,CMAD intro,Central Valley Today Televison Broadcast,5035 E McKinley Ave,"Fresno, CA 93727"
7/19/2024,7/19/2024,DIY YD,Central Valley Today Televison Broadcast,5036 E McKinley Ave,"Fresno, CA 93727"
7/24/2024,7/24/2024,DIY BK inspection,Central Valley Today Televison Broadcast,5037 E McKinley Ave,"Fresno, CA 93727"
7/24/2024,7/24/2024,Senior health fair,Clovis Senior Center,"735 3rd St, Clovis","Clovis, CA 93612"
8/13/2024,8/13/2024,Pinedale Food distribution,Fresno EOC Food Distribution,7435 N Ingram Ave,"Fresno, CA 93711"
8/16/2024,8/16/2024,Palier Food distribution,Fresno EOC Food Distribution,690 S Newmark Ave,"Parlier, CA 93648"
8/20/2024,8/20/2024,Orange Cove Food distribution,Fresno EOC Food Distribution,1705 S Anchor Ave,"Orange Cove, CA 93646"
8/28/2024,8/28/2024,Riverdale Food distribution,Fresno EOC Food Distribution,16704 S. Jameson Ave,"Riverdale, CA 93656"
9/3/2024,9/3/2024,Senior center,Kingsburg Senior Center,1450 Ellis St,"Kingsburg, CA 93631"
9/3/2024,9/3/2024,Senior center,Clovis Senior Center,"735 3rd St, Clovis","Clovis, CA 93612"
9/3/2024,9/3/2024,Senior center,Deanna's Place/Aging Gracefully,951 E Alluvial Ave,"Fresno, CA 93720"
9/3/2024,9/3/2024,Senior center,Edwin Blayney Senior Center,108 N 3rd St,"Fowler, CA 93625"
9/4/2024,9/4/2024,Senior center,New Parlier Senior Center,690 S Newmark Ave,"Parlier, CA 93648"
9/4/2024,9/4/2024,Senior center,Orange Cove Senior Center,699 6th St,"Orange Cove, CA 93646"
9/4/2024,9/4/2024,Senior center,Del Rey Senior Center,10661 Morro Ave,"Del Rey, CA 93616"
9/4/2024,9/4/2024,Senior center,Reedley Senior Center,100 N. East Ave,"Reedley, CA 93654"
9/4/2024,9/4/2024,Senior center,Selma Senior Center,2301 Selma St,"Selma, CA 93662"
9/6/2024,9/6/2024,Senior center,Sierra Palace for Elderly,607 E Sierra Ave,"Fresno, CA 93710"
9/8/2024,9/8/2024,National Night Out,John F Kennedy Park,1687 Tucker,"Sanger, CA 93657"
9/11/2024,9/11/2024,Pinedale Food distribution,Fresno EOC Food Distribution,7435 N Ingram Ave,"Fresno, CA 93711"
9/11/2024,9/11/2024,East Fresno Rotarty Meeting,The Palms Restaurant,"7550 N Palm Ave, Suite 200","Fresno, CA 93711"
9/13/2024,9/13/2024,KMO,Central Valley Today Televison Broadcast,5035 E McKinley Ave,"Fresno, CA 93727"
9/13/2024,9/13/2024,Philanthropic Educational Organization Womens group,The Terraces at San Joaquin Gardens,5533 N Fresno,"Fresno, CA 93710"
9/14/2024,9/14/2024,National Night Out,Earl Ruth Park,601 1st St.,"Parlier, CA 93648"
9/12/2024,9/13/2024,"Door to door (122133-SR655, 9/10/2024)",Residentail Neighborhood,1944 Minarets Ln,"Clovis, CA 93611"
9/17/2024,9/17/2024,Orange Cove Food distribution,Fresno EOC Food Distribution,1705 S Anchor Ave,"Orange Cove, CA 93646"
9/20/2024,9/20/2024,Starry night event,Brentlinger Park,1325 Stillman St,"Selma, CA 93662"
9/21/2024,9/21/2024,National Night Out,David McDonald Park,85 N Temperance Ave,"Clovis, CA 93611"
9/24/2024,9/24/2024,Indoor inspection,Central Valley Today Televison Broadcast,5035 E McKinley Ave,"Fresno, CA 93727"
9/25/2024,9/25/2024,Riverdale Food distribution,Fresno EOC Food Distribution,16704 S. Jameson Ave,"Riverdale, CA 93656"
9/30/2024,9/30/2024,"Door to door (122133-SR657, 9/27/2024)",The Fountains at Alluvial,1650 Alluvial Ave,"Clovis, CA 93611"
10/1/2024,10/1/2024,National Night Out,Pioneer Park,845 F St,"Reedley, CA 93654"
10/3/2024,10/3/2024,Door to door,Residentail Neighborhood,1957 Goshen Ave,"Clovis, CA 93611"
